'n	a, an.
angswekkend	alarming.
anker	n. anchor; brace, tie (of wall); armature (of magnet); anker (liquid-measure).; anchor; brace.
annale	(pl.) annals.
annekseer	annex; take.
anomalie	anomaly.
anoniem	anonymous.
ansjovis	anchovy; white bait.
Antarktika	Antartic.
antibioties	a. antibiotic.
antibiotikum	n. antibiotic.
antipatie	antipathy, dislike.
antraks	anthrax.
antrasiet	anthracite.
Antwerpen	Antwerp.
antwoord	n. answer, reply.; answer, reply.
anys	anise.
apart	apart, aside, separate.
apologie	apology.
apostel	apostle.
apparaat	apparatus.
appel	apple.; appeal.
appelkoos	apricot,
appelliefie	Cape gooseberry.
appelskimmel	dapple-grey.
appelwyn	cider.
appendisitis	appendicitis.
applikasie	application.
apploudisseer	applaud.
applous	applause.
appresieer	appreciate, value.
apteek	pharmacy.
apteker	chemist, druggist.
aptyt	appetite.
Arabier	Arab.
arbei	labour, toil, work.
arbeid	labour, toil, work.
Arbeidersparty	Labour Party.
arbeidsaam	diligent, industrious.
arbitreer	arbitrate; umpire.
arbitrer	arbitrary.
arend	eagle.
argeloos	guileless; unsuspecting.
argeoloog	archaeologist.
argief	archives; record-office.
argipel	archipelago.
argitek	architect.
argivaris	archivist.
arglistig	cunning, crafty.
argument	argument, plea.
argumenteer	argue, reason.
argwaan	mistrust, suspicion.
Arier	Aryan.
arig	queer, strange, unwell.
aristokraat	aristocrat.
aristokrasie	aristocracy.
Aristoteles	Aristotle.
arkade	arcade.
arm	n. arm; branch; lever.; a. poor; unfortunate.
armband	bracelet, bangle.
armblanke	poor-white.
armbuurt	poor quarter.
arme	n. the poor,
armlik	needy, poor, shabby.
armoede	poverty; paucity (of ideas).
armoedig	poor, shabby; humble.
armrig	rather poor.
armsalig	poor, pitiful; beggarly.
armsorg	poor-relief.
aroma	aroma, fragrance.
aronskelk	arum-lily, pig-lily.
arpuis	resin (rosin).
arres	arrest; custody, detention.
arrestasie	arrest, apprehension.
arresteer	arrest.
arrie	(I) say!, heigh!, lo!, my!
arriveer	arrive.
arsenaal	arsenal, armoury.
arsenikum	arsenik, arseen, arsenic.
artikel	article.
artikuleer	articulate.
artisjok	artichoke.
arts	doctor, physician.
as	n. ash, ashes; cinders.; n. axle; axle-tree (of wagon); axis (of figure, earth, etc.); shaft, spindle (of engine).; adv., conj. 8c prep, as, like, such as; in the capacity of; when; if; as if.
asalea	azalea.
asbak	ash-pan; ash-bin.
asbes	asbestos.
asblik	ash-bin.
asem	breath.; breathe.
asemhaal	breathe.
asemloos	breathless.
asetileen	acetylene.
asfalt	asphalt, bitumen.
Asiaat	Asiatic.
asimptoot	asymptote
asjas	good-for-nothing, nincompoop.
askar	dust-cart, rubbish-cart.
askoek	ash-scone; rogue, scamp.
asma	asthma.
asmede	as also, and also, as well as.
asnog	as yet.
asof	as if, as though; maak -, pretend.
asook	including.
aspaai	hide-and-seek.
aspek	aspect.
aspersie	asparagus.
aspirant	aspirant, appiicant.
aspirien	aspirin(e).
Aspoestertjie	Cinderella.
aspres	on purpose.
asseblief	(if you) please;
assegaai	assegai.; vide as(se)gaai.
assimileer	assimilate.
Assiriër	Assyrian.
assistent	assistant.
assosieer	associate.
assuransie	assurance, insurance.
aster	aster, chrysanthemum.
astrant	cheeky, impudent.
astronoom	astronomer.
asuur	azure, sky-blue.
asvaal	ashen pale; ashen grey (colour).
asyn	vinegar.
asynsuur	a. as sour as vinegar.
ateïs	atheist.
ateïsme	atheism,
ateljee	studio.
Athene	Athens.
atjar	pickles.
atlas	n. atlas.
atleet	athlete.
atletiek	athletics.
atmanak	almanac.
atmosfeer	atmosphere.; atmosphere
atoom	atom.
atoomkrag	atomic energy.
atoomstapel	atomic pile.
attensie	attention, thoughtfulness.
attent	attentive; considerate.
attributief	attributive.
Augustus	August.
Australier	Australian.
Avondmaal	vide Nagmaal.
avontuur	adventure.
aweregs	inverted; perverse; purl.
awery	average, damage.
ba!	shaw!, bah!
baadjie	coat, jacket.
baadjiepak	coat and skirt, costume.
baai	n. 1. bay.; n. 2. baize.; bathe.
baaikostuum	bathing-costume.
baal	n. bale.
baan	n. course, track; channel; orbit (of planet); trajectory (of projectile); panel (of skirt); width, breadth (of cloth); court (for tennis); floor (for dancing).; clear; pave (the way).
baanbreker	pioneer.
baantjie	job, billet.
baar	n; 1. wave, billow.; n. 2. bier; stretcher.; a. raw, inexperienced.; bring forth, bear; cause (anxiety).
baard	beard; whiskers.
baardkoring	bearded wheat.
baars	bass, perch.
baas	master, boss; manager, chief; overseer; champion.
baasraak	overcome, defeat; master.
baasspeel	domineer, rule the roost,
baat	n. benefit, profit.; avail.
baatsugtig	selfish, egoistic.
baba	baby, infant.
babbel	chatter, prattle.
babbelbek	chatterbox, gossip.
baber	barbel, bagger.
bad	bath; (baaie), hot spring.; bath; have a bath.
badkamer	bathroom.
bagasie	luggage, baggage.
bagasiekamer	luggage-office, cloakroom.
bagasiewa	luggage-van.
bagatel	vide bakatel.
bagger	dredge.
baie	a., much, many.; adv. very; much; many; far; frequently.
baiekeer	-maal, frequently, often,
bajonet	bayonet.
bak	n. bowl; dish, basin; cistern, tank; bucket; trough; container; body (of car); hood (of snake).; bake (bread); fry (egg, fish); bask (in the sun).
bakatel	bagatelle, trifle.
bakbene	bandy legs.
bakboord	from pillar to post.
baken	beacon, landmark; buoy.
bakermat	cradle, birth-place.
bakker	baker.
bakkery	bakery; baking.
bakkies	phiz, mug.
bakkopslang	ringed cobra.
baklei	fight, scufBe, scrap.
bakoond	oven.
bakore	protruding ears.
bakpoeier	baking-powder.
baksel	batch, baking.
baksteen	brick.
baksteenoond	brick-kiln.
bakvissie	flapper.
bal	n. 1. ball.; n. 2. ball, dance.; clench (fist).
balans	balance; balance-sheet.
baldadig	rowdy, wanton; frisky.
balein	whale-bone; busk.
balhorig	refractory, stubborn.
balie	tub; bar.
baljaar	(ge-) gambol, romp; kick up a row.
balju	sheriff.
balk	beam; rafter (for roof); (floor-) joist; staff, stave (mus.).
balkon	balcony; platform (train, tram); dress-circle (in theatre).
ballade	ballad.
ballasmandjie	bushel-basket.
ballet	ballet.
balling	exile.
ballon	balloon.
balsem	n. balm, ointment.; embalm (corpse).
balsturig	refractory, obstinate.
bamboes	bamboo.
ban	n. excommunication, ban.; banish, exile, expel.
banaal	banal, trite, trivial.
banana	banana.
band	band (round arm, etc.); tyre (of bicycle, motorcar); hoop (round barrel); bandage; binding, cover (of book); volume (book); belt; strap; sling (for arm); bond; tie (of friendship, blood).
bandelier	bandoleer.
bandeloos	lawless; unrestrained.
bandiet	convict.
bandom	bantam.
bandopnemer	tape-recorder.
bandsaag	endless saw, belt-saw.
bandvat	hold tight; pull up short.
bang	afraid, frightened; anxious.
bangbroek	" coward, ""funk""."
banier	banner, standard.
bank	n. bench, seat; settee; pew (in church); desk (in school); bank.; bank.
banket	banquet.
bankier	banker.
bankrot	bankrupt, insolvent.
banneling	vide balUng.
bantamhoendertjie	bantam (-cock, -hen).
bantom	bantam (pebble); striped,
bar	a. barren; inclement, severe.
barak	barracks; hovel.
barbaar	barbarian, savage.
barbier	barber, hairdresser,
barlewiet	barlty-wheat.
barmhartig	merciful, charitable,
barnsteen	amber.
barometer	barometer.
baron	baron.
bars	n. crack; burst, split; (of skin).; a. harsh, rough, gruff.; burst, crack, split; chap (of skin); explode, burst (of shell).
barstens	bursting.
bas	n. (1) bass.; n. (2) bark (of tree); rind (of tree, plant); skin.
basaar	bazaar.
basboom	wattle.
baseer	- op, base on.
basis	base; basis (fig.).; base; basis; premise
Basoeto	Basuto.
basstem	bass (-voice).
basta	stop; that's enough!
baster	bastard; half-breed; hybrid; mongrel.; adv. kind of; rather; quite.; hybridize; interbreed.
basterskaap	Persian sheep.
basuin	trumpet; trombone.
bataljon	battalion.
bate	asset.
batig	credit-balance.
battery	battery.
beaam	assent to, approve of.
beampte	official, officer.
beangs	anxious, alarmed.
beangstig	alarm.
beantwoord	answer; reply to; acknowledge (greeting); get on; thrive.; answer; reply; acknowledge; return; serve; correspond; realise; fulfil
bearbei	(-) , work; cultivate (ground); canvass (constituency, etc.); minister to the spiritual needs of.
bebloed	blood-stained.
beboet	fine.
bebos	afforest.
bebou	build (up)on; cultivate.
bebroei	hard-set (egg).
bebrou	spoil, mess up.
bed	bed; bedside.
bedaar	calm down; subside; drop (of wind); soothe, pacify.
bedaard	(-e7, calm, tranquil.
bedag	mindful (of); prepared (for).
bedags	by day, during the day.
bedagsaam	thoughtful; considerate.
bedank	thank; resign (post); discharge (employee); decline (honour).
beddegoed	bedding, bed-clothes.
bedding	bed (of river, of flowers), seam (of coal); stratum (geol.).
bede	prayer; supplication.
bedeel	endow (with talents).
bedees	bashful, shy.
bedek	covered; concealed, disguised, veiled; covert(threat).; cover (up); conceal.
bedektelik	covertly.
bedel	beg; ask alms; cadge.
bedelaar	beggar.
bedenking	consideration; objection.
bedenklik	critical (condition); dangerous; serious; suspicious.
bederf	n. decay, putrefaction, decomposition; rot (in wood); corruption; ruin.; go bad, rot, decay; spoil; ruin (health); corrupt (morals).
bederflik	perishable; corruptible.
bedien	serve, wait upon; mind (machine); preach (the Gospel); make use of, avail oneself of.
bediende	servant (in house); assistant (in shop).
bedink	remember; consider (matter); think out, invent (story), devise (ways and means).
bedlêend	bedridden.
Bedoeïen	Bedouin.
bedoel	mean; intend; purpose.
bedoeling	meaning; purpose, aim.
bedompig	stuffy, close, sultry.
bedorwe	depraved; spoiled; corrupt.
bedra	amount to.
bedreig	threaten, menace.; threaten
bedrewe	skilled, skilful; expert.
bedrieë	deceive, mislead.
bedrieglik	deceptive.
bedroë	deceived, taken in.
bedroef	a. sad, sorrowing.; grieve, distress.
bedrog	deceit, fraud.
bedruk	a. printed; depressed.
bedryf	deed; trade, business, profession; industry; act (of play).; commit, perpetrate.
bedrywende vorm	active voice.
bedrywig	busy, active.
bedsprei	coverlet, bedspread.
bedug	afraid, apprehensive.
beduidend	significant
beduidenis	meaning.
beduie	signify; portend; indicate; point out, gesticulate.
beduiweld	mad, crazy, daft.
bedwang	control, restraint.
bedwelm	stun (by a fall); intoxicate (by strong drink); drug.
bedwing	control, suppress; keep (hold) back, keep down; quell (insurrection); restrain (passions); contain (anger).
beedig	swear in; swear to.; finish, end, conclude,
beëdigde	sworn.
beef	tremble; shake (with fear); shudder (with cold, horror); shiver (with cold).
beeld	n. image; reflection; statue (moulded figure); picture; figure of speech; conception.; form, shape; portray,
beeldende	plastic (art).
beeldhou	sculpture, carve.
beeldhouer	sculptor.
beeldradio	television.
beeldsend	televise, telecast.
beeldskoon	of rare beauty.
beeldspraak	figurative (metaphorical) language, metaphor.
been	leg; bone (of skeleton); side (of triangle).
been-af	with a broken leg; in love.
beer	(bere); bear (wild animal); boar (male pig)
beerf	inherit.
beerwyfie	she-bear.
bees	beast; brute.
beeste	cattle.
beeswagter	cattle-herd.
beet	1. beetroot.; n. 2. bite, hold, grip.
beethê	have, get hold of.
beetkry	get (take, seize) hold of.
beetneem	take in, deceive, make a fool of.
beetpak	lay hold of, seize.
befaamd	renowned; notorious.
befoeter	muck up.; crazv, mad, daft.
begaaf	gifted, talented.
begaan	a. beaten (track); concerned.
begaanbaar	practicable, passable.
begeef	forsake, fail.
begeer	desire, want, covet.
begeerlik	desirable; tempting; greedy (eyes); covetous.
begelei	accompany; escort.
begenadig	pardon, reprieve; grace, favour.
begerig	desirous, covetous.
begin	n. beginning, start, outset.; begin, start.
beginsel	principle.; principle
beginselvas	of firm principles.
begoël	bewitch; delude.
begraaf	bury, inter.
begrafnis	funeral, burial.
begrens	limit, bound.
begrepe	understood.
begrip	idea, conception, understanding.; understanding; comprehension
begroei	overgrow.
begroet	greet, salute.
begroot	estimate, rate.; estimate; budget; rate
begryp	understand, grasp.
begunstig	favour; patronize.
behaag	please.
behaaglik	pleasant; comfortable.
behaal	gain, win, (prize, victory), score; obtain (degree).
behae	n. pleasure.
behalwe	except, but, save.
behandel	treat; deal with (subject, case, person); do; manage; attend; discuss.
behang	hang (decorate) with; paper.
behartig	look after; manage.
beheer	manage, administer.
beheers	control; govern, rule (people).
beheks	bewitch.
behelp	manage.
behels	embrace; contain.
behendig	dexterous, adroit.
behep; - met	possessed by (with) (idea).
behoed	( - ), protect; preserve; save.
behoedsaam	cautious, wary.
behoef	need, require, want.
behoefte	need, want.; need
behoeftig	needy, destitute.
behoewe; ten - van	on behalf of.
behoorlik	adv. properly, thoroughly.
behoort	( - ), belong (to); be proper,
behore; na -	properly, respectably.
behou	keep; maintain; save.
behoudens	except (but) for.
behoue	safe, unhurt.
behuising	housing.
behulp; met - van	with the aid of.
behulpsaam	helpful.
beide	both.
beïndruk	impressed
beïnvloed	influence, affect.
beitel	n. chisel; cutter.; chisel.
bejaard	elderly,
bejammer	pity; bewail; deplore.
bejammerenswaardig	pitiable; deplorable.
bejeën	treat, use.
bek	mouth; beak, bill (of bird); snout (of animal); muzzle (of fire-arm), jaws (of vice); spout; opening.
bek-af	down-hearted; worn out.
bekamp	fight (against); combat.
beken	acknowledge, admit; make out.
bekend	known; familiar.; known; familiar; acquainted
bekend maak	notify; announce
bekende	acquaintance.
bekendmaking	announcement; notice; publication.
bekendstelling	introduction
bekentenis	confession, admission.
beker	jug, mug; beaker; cup.
bekken	basin; catchment-area; (baptismal) font.
bekla	pity (person); deplore; bemoan (one's lot).
beklad	blot; sully; slander.
beklaenswaardig	pitiable; lamentable.
bekleding	covering; cover; upholstering; upholstery; lining; tenure (of office).
beklee	clothe; upholster; drape (with cloth); case; line; panel (walls); hold (post).
beklemming	oppression; heaviness.
beklemtoon	accent, stress (point).
beklim	climb; scale.
beklink	settle; drink to.
beklonke	settled, fixed up.
beknop	a. concise (style); condensed, compact; poky (room); cramped.; concise
bekom	get, obtain.; acquire
bekommer	worry about.
bekoms	eat (have) one's fill.
bekonkel	a. muddled up, mad.; manoeuvre, wangle.
bekoor	charm, fascinate.
bekostig	afford.
bekragtig	ratify; confirm.
bekrap	scratch (scribble) all over.
bekrompe	a. confined (space); narrow-minded.
bekroon	crown; award a prize,
bekruip	stalk, steal upon.
bekwaam	a. competent, efficient; ripe.; sig -, qualify (for); retain, study.
bekyk	look at, view (lit. & fig.).
bel	n. bell; ear-drop; wattle (of turkey).; ring; (tele)phone.
belaai	load; burden.
belaglik	ridiculous, ludicrous.
beland	land.
belang	interest; importance.
belangrik	important; considerable.
belangstellend	interested; sympathetic.
belangstelling	interest; sympathy.
